,2023-10-05 02:49:37,Day1,Day3,Day5,Day7,Day10,Day14,Day21,Day28
40,DEFI/USDT:USDT,,,-0.3830674453418844,0.029777546619511926,-0.3176890474530377,0.01886669245996584,-0.10741392029229989,0.06491417786954569
41,YFI/USDT:USDT,-0.10783277320343768,0.2386671852527174,0.41654118974611204,0.4107413791659103,0.35944496446476043,-0.3108066708531378,-0.19135240398890382,-0.017563886575079974
42,BAL/USDT:USDT,,,,-2.9186907505701986e-14,0.24975802271600808,0.06700239275465919,0.2626566357965947,0.13755239493441138
43,CRV/USDT:USDT,0.5829030507947919,0.10401691624185543,0.3168294645980664,-0.13322718046706702,0.10522505234954233,0.31493739084222316,-0.019664957101989015,0.198513461793755
44,TRB/USDT:USDT,,,,-0.22145474785382302,-0.02824865769842113,0.2977247756613226,-0.22088542499405475,-0.07544100545518401
45,RUNE/USDT:USDT,,-0.18029500325341788,0.16017395717566307,-0.23062343305501343,-0.28362051945183564,-0.28710049520018516,0.28324387400802503,-0.006657336890745759
46,SUSHI/USDT:USDT,,0.04166666666666634,0.0,-0.06900655593423517,-0.30384445983403446,-0.25538042237324654,0.20562610677387255,0.20270602042085425
47,SRM/USDT:USDT,,,,0.9799578870122225,0.9647638212377322,,0.9666245053602428,
48,EGLD/USDT:USDT,,,,-0.4480867654376707,0.4416137969328387,0.14142312617537658,0.029582616300003826,0.07328163107208419
49,SOL/USDT:USDT,-0.10599105039602527,0.5099090649401035,-0.09933009570007298,-0.09641107673996968,-0.2927252007121807,0.11433738154508583,0.2603321814340017,-0.3252248718238886
50,ICX/USDT:USDT,0.7460924756506964,-0.228810868614222,-0.24629408655952345,0.22272935057565305,0.6220320279894127,0.3507469066193555,-0.06634939187222344,-0.055925900939901026
51,STORJ/USDT:USDT,,,,3.896663651340945e-14,1.0974809422897208e-14,,-0.25135729820679403,0.04914282669104399
52,BLZ/USDT:USDT,,,,-2.7143609685827765e-14,-4.79059141475672e-15,0.25881724284445584,0.4340980038263581,0.08193200348482542
53,UNI/USDT:USDT,-0.9074859211730787,-0.6125062242793456,0.25958722922827265,-0.12062720964134888,0.19934019873389786,-0.2706089592858321,0.15448932021995493,-0.03414797619185645
54,AVAX/USDT:USDT,-0.9040400498151255,0.7523705267730616,0.46818649864337186,0.2624572444294108,-0.39265188768849174,-0.19466740281356718,0.4555984985196221,-0.4102392072750136
